Report Number,Route Type,Road Name,Cross-Street Name,Collision Type,Municipality,Weather,Surface Condition,Traffic Control,Speed Limit,Latitude,Longitude,Date,Time,Year,Month,Day
MCP20520027,Municipality,WOOTTON PKWY,SEVEN LOCKS RD,SINGLE VEHICLE,ROCKVILLE,CLEAR,DRY,,35,39.0667,-77.16251,2021-09-24,21:25:00,2021,9,24
MCP2047004Q,County,MONTROSE RD,TOWER OAKS BLVD,OTHER,ROCKVILLE,CLEAR,DRY,NO CONTROLS,40,39.0552287,-77.14826434,2022-10-20,08:55:00,2022,10,20
DD56590008,Municipality,VEIRS MILL SERV RD,BRADLEY AVE,SAME DIR REAR END,ROCKVILLE,RAINING,WET,NO CONTROLS,40,39.07497477,-77.1155662,2023-03-24,21:32:00,2023,3,24
MCP32590023,Municipality,W EDMONSTON DR,WOOTTON PKWY,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,NO CONTROLS,25,39.07312776,-77.13727449,2021-10-21,16:31:00,2021,10,21
DD559500B7,Municipality,FIRST ST,LYNN CT,OTHER,ROCKVILLE,CLEAR,DRY,NO CONTROLS,25,39.08993333,-77.135355,2021-09-28,16:23:00,2021,9,28
MCP23560031,Maryland (State),FREDERICK RD,REDLAND BLVD,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.11559478,-77.16615843,2023-07-07,19:56:00,2023,7,7
DD5644002L,Municipality,N STONESTREET AVE,FREDERICK AVE,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,NO CONTROLS,25,39.09381133,-77.15051117,2022-04-12,21:00:00,2022,4,12
DD56330064,Maryland (State),NORBECK RD,AVERY RD,OTHER,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,0,39.09306542,-77.12282944,2021-10-07,14:00:00,2021,10,7
DD5624004N,Municipality,S STONESTREET AVE,READING TERR,OTHER,ROCKVILLE,SNOW,SNOW,NO CONTROLS,25,39.08442095,-77.14487276,2021-02-18,19:20:00,2021,2,18
DD5652000X,Municipality,MONROE ST,E MIDDLE LA,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,RAINING,WET,NO CONTROLS,25,39.08506733,-77.14941367,2022-07-09,11:00:00,2022,7,9
DD55200011,Maryland (State),VEIRS MILL RD,BROADWOOD DR,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,,DRY,TRAFFIC SIGNAL,40,39.0769781,-77.1259553,2022-07-05,08:15:00,2022,7,5
MCP2818004W,Municipality,BROADWOOD DR,BRADLEY AVE,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLOUDY,DRY,STOP SIGN,25,39.08118167,-77.12049667,2021-07-13,12:54:00,2021,7,13
DD5647002H,Municipality,CONGRESSIONAL LA,E JEFFERSON ST,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,NO CONTROLS,15,39.06297733,-77.12833435,2022-10-22,16:16:00,2022,10,22
DD5647000F,Maryland (State),NORBECK RD,E GUDE DR,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,,50,39.09043867,-77.12867933,2021-02-25,10:15:00,2021,2,25
DD56360044,Municipality,EDMONSTON DR,LEWIS AVE,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,NO CONTROLS,30,39.07454352,-77.13517629,2021-03-04,19:58:00,2021,3,4
MCP2752004H,Municipality,WOOTTON PKWY,TOWER OAKS BLVD,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.06677832,-77.15352422,2021-12-19,14:51:00,2021,12,19
